date,cases,cartodb_id,province,weekinmonth,monthname,timeframe
2/15/20,0,10,Manitoba,3,February,February-W3
2/15/20,0,7,New Brunswick,3,February,February-W3
2/15/20,0,5,Newfoundland and Labrador,3,February,February-W3
2/15/20,0,13,Northwest Territories,3,February,February-W3
2/15/20,0,2,Nova Scotia,3,February,February-W3
2/15/20,3,11,Ontario,3,February,February-W3
2/15/20,0,8,Prince Edward Island,3,February,February-W3
2/15/20,0,1,Quebec,3,February,February-W3
2/15/20,0,3,Saskatchewan,3,February,February-W3
2/15/20,0,9,Yukon,3,February,February-W3
2/15/20,0,12,Nunavut,3,February,February-W3
2/16/20,0,4,Alberta,3,February,February-W3
2/16/20,4,6,British Columbia,3,February,February-W3
2/16/20,0,10,Manitoba,3,February,February-W3
2/16/20,0,7,New Brunswick,3,February,February-W3
2/16/20,0,5,Newfoundland and Labrador,3,February,February-W3
2/16/20,0,13,Northwest Territories,3,February,February-W3
2/16/20,0,2,Nova Scotia,3,February,February-W3
2/16/20,3,11,Ontario,3,February,February-W3
2/16/20,0,8,Prince Edward Island,3,February,February-W3
2/16/20,0,1,Quebec,3,February,February-W3
2/16/20,0,3,Saskatchewan,3,February,February-W3
2/16/20,0,9,Yukon,3,February,February-W3
2/16/20,0,12,Nunavut,3,February,February-W3
2/17/20,0,4,Alberta,3,February,February-W3
2/17/20,5,6,British Columbia,3,February,February-W3
2/17/20,0,10,Manitoba,3,February,February-W3
2/17/20,0,7,New Brunswick,3,February,February-W3
2/17/20,0,5,Newfoundland and Labrador,3,February,February-W3
2/17/20,0,13,Northwest Territories,3,February,February-W3
2/17/20,0,2,Nova Scotia,3,February,February-W3
2/17/20,3,11,Ontario,3,February,February-W3
2/17/20,0,8,Prince Edward Island,3,February,February-W3
2/17/20,0,1,Quebec,3,February,February-W3
2/17/20,0,3,Saskatchewan,3,February,February-W3
2/17/20,0,9,Yukon,3,February,February-W3
2/17/20,0,12,Nunavut,3,February,February-W3
2/18/20,0,4,Alberta,3,February,February-W3
2/18/20,5,6,British Columbia,3,February,February-W3
2/18/20,0,10,Manitoba,3,February,February-W3
2/18/20,0,7,New Brunswick,3,February,February-W3
2/18/20,0,5,Newfoundland and Labrador,3,February,February-W3
2/18/20,0,13,Northwest Territories,3,February,February-W3
2/18/20,0,2,Nova Scotia,3,February,February-W3
2/18/20,3,11,Ontario,3,February,February-W3
2/18/20,0,8,Prince Edward Island,3,February,February-W3
2/18/20,0,1,Quebec,3,February,February-W3
2/18/20,0,3,Saskatchewan,3,February,February-W3
2/18/20,0,9,Yukon,3,February,February-W3
2/18/20,0,12,Nunavut,3,February,February-W3
2/19/20,0,4,Alberta,3,February,February-W3
2/19/20,5,6,British Columbia,3,February,February-W3
2/19/20,0,10,Manitoba,3,February,February-W3
2/19/20,0,7,New Brunswick,3,February,February-W3
2/19/20,0,5,Newfoundland and Labrador,3,February,February-W3
2/19/20,0,13,Northwest Territories,3,February,February-W3
2/19/20,0,2,Nova Scotia,3,February,February-W3
2/19/20,3,11,Ontario,3,February,February-W3
2/19/20,0,8,Prince Edward Island,3,February,February-W3
2/19/20,0,1,Quebec,3,February,February-W3
2/19/20,0,3,Saskatchewan,3,February,February-W3
2/19/20,0,9,Yukon,3,February,February-W3
2/19/20,0,12,Nunavut,3,February,February-W3
2/20/20,0,4,Alberta,3,February,February-W3
2/20/20,5,6,British Columbia,3,February,February-W3
2/20/20,0,10,Manitoba,3,February,February-W3
2/20/20,0,7,New Brunswick,3,February,February-W3
2/20/20,0,5,Newfoundland and Labrador,3,February,February-W3
2/20/20,0,13,Northwest Territories,3,February,February-W3
2/20/20,0,2,Nova Scotia,3,February,February-W3
2/20/20,3,11,Ontario,3,February,February-W3
2/20/20,0,8,Prince Edward Island,3,February,February-W3
2/20/20,0,1,Quebec,3,February,February-W3
2/20/20,0,3,Saskatchewan,3,February,February-W3
2/20/20,0,9,Yukon,3,February,February-W3
2/20/20,0,12,Nunavut,3,February,February-W3
2/21/20,0,4,Alberta,3,February,February-W3
2/21/20,6,6,British Columbia,3,February,February-W3
2/21/20,0,10,Manitoba,3,February,February-W3
2/21/20,0,7,New Brunswick,3,February,February-W3
2/21/20,0,5,Newfoundland and Labrador,3,February,February-W3
2/21/20,0,13,Northwest Territories,3,February,February-W3
2/21/20,0,2,Nova Scotia,3,February,February-W3
2/21/20,3,11,Ontario,3,February,February-W3
2/21/20,0,8,Prince Edward Island,3,February,February-W3
2/21/20,0,1,Quebec,3,February,February-W3
2/21/20,0,3,Saskatchewan,3,February,February-W3
2/21/20,0,9,Yukon,3,February,February-W3
2/21/20,0,12,Nunavut,3,February,February-W3
2/22/20,0,4,Alberta,4,February,February-W4
2/22/20,6,6,British Columbia,4,February,February-W4
2/22/20,0,10,Manitoba,4,February,February-W4
2/22/20,0,7,New Brunswick,4,February,February-W4
2/22/20,0,5,Newfoundland and Labrador,4,February,February-W4
2/22/20,0,13,Northwest Territories,4,February,February-W4
2/22/20,0,2,Nova Scotia,4,February,February-W4
2/22/20,3,11,Ontario,4,February,February-W4
2/22/20,0,8,Prince Edward Island,4,February,February-W4
2/22/20,0,1,Quebec,4,February,February-W4
2/22/20,0,3,Saskatchewan,4,February,February-W4
2/22/20,0,9,Yukon,4,February,February-W4
2/22/20,0,12,Nunavut,4,February,February-W4
2/23/20,0,4,Alberta,4,February,February-W4
2/23/20,6,6,British Columbia,4,February,February-W4
2/23/20,0,10,Manitoba,4,February,February-W4
2/23/20,0,7,New Brunswick,4,February,February-W4
2/23/20,0,5,Newfoundland and Labrador,4,February,February-W4
2/23/20,0,13,Northwest Territories,4,February,February-W4
2/23/20,0,2,Nova Scotia,4,February,February-W4
2/23/20,3,11,Ontario,4,February,February-W4
2/23/20,0,8,Prince Edward Island,4,February,February-W4
2/23/20,0,1,Quebec,4,February,February-W4
2/23/20,0,3,Saskatchewan,4,February,February-W4
2/23/20,0,9,Yukon,4,February,February-W4
2/23/20,0,12,Nunavut,4,February,February-W4
2/24/20,0,4,Alberta,4,February,February-W4
2/24/20,6,6,British Columbia,4,February,February-W4
2/24/20,0,10,Manitoba,4,February,February-W4
2/24/20,0,7,New Brunswick,4,February,February-W4
2/24/20,0,5,Newfoundland and Labrador,4,February,February-W4
2/24/20,0,13,Northwest Territories,4,February,February-W4
2/24/20,0,2,Nova Scotia,4,February,February-W4
2/24/20,4,11,Ontario,4,February,February-W4
2/24/20,0,8,Prince Edward Island,4,February,February-W4
2/24/20,0,1,Quebec,4,February,February-W4
2/24/20,0,3,Saskatchewan,4,February,February-W4
2/24/20,0,9,Yukon,4,February,February-W4
2/24/20,0,12,Nunavut,4,February,February-W4
2/25/20,0,4,Alberta,4,February,February-W4
2/25/20,7,6,British Columbia,4,February,February-W4
2/25/20,0,10,Manitoba,4,February,February-W4
2/25/20,0,7,New Brunswick,4,February,February-W4
2/25/20,0,5,Newfoundland and Labrador,4,February,February-W4
2/25/20,0,13,Northwest Territories,4,February,February-W4
2/25/20,0,2,Nova Scotia,4,February,February-W4
2/25/20,4,11,Ontario,4,February,February-W4
2/25/20,0,8,Prince Edward Island,4,February,February-W4
2/25/20,0,1,Quebec,4,February,February-W4
2/25/20,0,3,Saskatchewan,4,February,February-W4
2/25/20,0,9,Yukon,4,February,February-W4
2/25/20,0,12,Nunavut,4,February,February-W4
2/26/20,0,4,Alberta,4,February,February-W4
2/26/20,7,6,British Columbia,4,February,February-W4
2/26/20,0,10,Manitoba,4,February,February-W4
2/26/20,0,7,New Brunswick,4,February,February-W4
2/26/20,0,5,Newfoundland and Labrador,4,February,February-W4
2/26/20,0,13,Northwest Territories,4,February,February-W4
2/26/20,0,2,Nova Scotia,4,February,February-W4
2/26/20,4,11,Ontario,4,February,February-W4
2/26/20,0,8,Prince Edward Island,4,February,February-W4
2/26/20,0,1,Quebec,4,February,February-W4
2/26/20,0,3,Saskatchewan,4,February,February-W4
2/26/20,0,9,Yukon,4,February,February-W4
2/26/20,0,12,Nunavut,4,February,February-W4
2/27/20,0,4,Alberta,4,February,February-W4
2/27/20,7,6,British Columbia,4,February,February-W4
2/27/20,0,10,Manitoba,4,February,February-W4
2/27/20,0,7,New Brunswick,4,February,February-W4
2/27/20,0,5,Newfoundland and Labrador,4,February,February-W4
2/27/20,0,13,Northwest Territories,4,February,February-W4
2/27/20,0,2,Nova Scotia,4,February,February-W4
2/27/20,6,11,Ontario,4,February,February-W4
2/27/20,0,8,Prince Edward Island,4,February,February-W4
2/27/20,0,1,Quebec,4,February,February-W4
2/27/20,0,3,Saskatchewan,4,February,February-W4
2/27/20,0,9,Yukon,4,February,February-W4
2/27/20,0,12,Nunavut,4,February,February-W4
2/28/20,0,4,Alberta,4,February,February-W4
2/28/20,7,6,British Columbia,4,February,February-W4
2/28/20,0,10,Manitoba,4,February,February-W4
2/28/20,0,7,New Brunswick,4,February,February-W4
2/28/20,0,5,Newfoundland and Labrador,4,February,February-W4
2/28/20,0,13,Northwest Territories,4,February,February-W4
2/28/20,0,2,Nova Scotia,4,February,February-W4
2/28/20,6,11,Ontario,4,February,February-W4
2/28/20,0,8,Prince Edward Island,4,February,February-W4
2/28/20,1,1,Quebec,4,February,February-W4
2/28/20,0,3,Saskatchewan,4,February,February-W4
2/28/20,0,9,Yukon,4,February,February-W4
2/28/20,0,12,Nunavut,4,February,February-W4
2/29/20,0,4,Alberta,4,February,February-W4
2/29/20,8,6,British Columbia,4,February,February-W4
2/29/20,0,10,Manitoba,4,February,February-W4
2/29/20,0,7,New Brunswick,4,February,February-W4
2/29/20,0,5,Newfoundland and Labrador,4,February,February-W4
2/29/20,0,13,Northwest Territories,4,February,February-W4
2/29/20,0,2,Nova Scotia,4,February,February-W4
2/29/20,11,11,Ontario,4,February,February-W4
2/29/20,0,8,Prince Edward Island,4,February,February-W4
2/29/20,1,1,Quebec,4,February,February-W4
2/29/20,0,3,Saskatchewan,4,February,February-W4
2/29/20,0,9,Yukon,4,February,February-W4
2/29/20,0,12,Nunavut,4,February,February-W4
3/1/20,0,4,Alberta,1,March,March-W1
3/1/20,8,6,British Columbia,1,March,March-W1
3/1/20,0,10,Manitoba,1,March,March-W1
3/1/20,0,7,New Brunswick,1,March,March-W1
3/1/20,0,5,Newfoundland and Labrador,1,March,March-W1
3/1/20,0,13,Northwest Territories,1,March,March-W1
3/1/20,0,2,Nova Scotia,1,March,March-W1
3/1/20,15,11,Ontario,1,March,March-W1
3/1/20,0,8,Prince Edward Island,1,March,March-W1
3/1/20,1,1,Quebec,1,March,March-W1
3/1/20,0,3,Saskatchewan,1,March,March-W1
3/1/20,0,9,Yukon,1,March,March-W1
3/1/20,0,12,Nunavut,1,March,March-W1
3/2/20,0,4,Alberta,1,March,March-W1
3/2/20,8,6,British Columbia,1,March,March-W1
3/2/20,0,10,Manitoba,1,March,March-W1
3/2/20,0,7,New Brunswick,1,March,March-W1
3/2/20,0,5,Newfoundland and Labrador,1,March,March-W1
3/2/20,0,13,Northwest Territories,1,March,March-W1
3/2/20,0,2,Nova Scotia,1,March,March-W1
3/2/20,18,11,Ontario,1,March,March-W1
3/2/20,0,8,Prince Edward Island,1,March,March-W1
3/2/20,1,1,Quebec,1,March,March-W1
3/2/20,0,3,Saskatchewan,1,March,March-W1
3/2/20,0,9,Yukon,1,March,March-W1
3/2/20,0,12,Nunavut,1,March,March-W1
3/3/20,0,4,Alberta,1,March,March-W1
